cluster	strains_with_incomplete_cluster
methylation	17
fatty acid biosynthetic process	16
regulation of DNA-templated transcription	12
proteolysis	12
'de novo' IMP biosynthetic process	11
DNA repair	11
'de novo' pyrimidine nucleobase biosynthetic process	9
tricarboxylic acid cycle	9
cobalamin biosynthetic process	8
phosphorelay signal transduction system	7
cell redox homeostasis	7
cell wall organization	7
regulation of cell shape	6
urate catabolic process	6
translation	5
response to antibiotic	5
negative regulation of DNA-templated transcription	5
carbohydrate metabolic process	5
SOS response	5
tryptophan biosynthetic process	4
lysine biosynthetic process via diaminopimelate	4
RNA processing	4
glycogen catabolic process	4
RNA repair	4
oxaloacetate metabolic process	4
rescue of stalled ribosome	4
DNA replication	4
L-serine catabolic process	4
modification-dependent protein catabolic process	4
tRNA processing	4
DNA-templated DNA replication	4
isoleucine biosynthetic process	3
DNA-templated transcription termination	3
allantoin catabolic process	3
folic acid biosynthetic process	3
thiamine transport	3
DNA topological change	3
gluconeogenesis	3
glycerol metabolic process	3
positive regulation of DNA-templated transcription	2
rRNA 5'-end processing	2
butyrate catabolic process	2
phosphoenolpyruvate-dependent sugar phosphotransferase system	2
tRNA wobble position uridine thiolation	2
phosphate ion transmembrane transport	2
intracellular manganese ion homeostasis	2
ectoine transmembrane transport	2
peptidoglycan turnover	2
steroid metabolic process	2
lipoprotein biosynthetic process	2
protein refolding	2
response to heat	2
glycolipid biosynthetic process	1
nucleotide metabolic process	1
glyoxylate cycle	1
pantothenate catabolic process	1
cytochrome complex assembly	1
malate metabolic process	1
glycine biosynthetic process, by transamination of glyoxylate	1
phenylacetate catabolic process	1
UDP-N-acetylglucosamine biosynthetic process	1
protein-DNA covalent cross-linking repair	1
protoporphyrinogen IX biosynthetic process from glutamate	1
antibiotic biosynthetic process	1
molybdate ion transport	1
electron transport coupled proton transport	1
shikimate metabolic process	1
L-phenylalanine biosynthetic process	1
glucose 6-phosphate metabolic process	1
selenocysteine biosynthetic process	1
seryl-tRNA aminoacylation	1
heme B biosynthetic process	1
signal peptide processing	1
D-gluconate metabolic process	1
amino acid transport	1
amino acid biosynthetic process	1
ribosome biogenesis	1
regulation of nitrogen utilization	1
cell division	1
glutamyl-tRNA aminoacylation	1
glutaminyl-tRNAGln biosynthesis via transamidation	1
iron-sulfur cluster assembly	1
fructose 1,6-bisphosphate metabolic process	1
transcription-coupled nucleotide-excision repair, DNA damage recognition	1
protein unfolding	1
'de novo' cotranslational protein folding	1
protein targeting	1
lipid metabolic process	1
regulation of translational fidelity	1
signal transduction	1
lysyl-tRNA aminoacylation	1
secondary metabolite biosynthetic process	1
protein folding	1
